EC portal,Title/Identifier (if no DOI available),Description of the dataset/Abstract,Database Key words,Producer,Full name of corresponding author (with email contact),Year,Accessible y/n,Give the DOI (or URL) to access the dataset in the data repository,"Is this dataset reusable?
Yes/No","If the dataset is linked to a publication, specify the DOI of the publication",Licence,Code available (link),Link (html) to an image/logo/figure representing the database,geographical extent,No,Usefull for which diseases ,Concept ID (NCBI) ,Dataset or Software,Dataset type,Dashboard,Data produced by MOOD (Prod.) or only used (Used) within the project,Accessibility (Public or MPo -MOOD partners only),uuid,n
NO,2019_Herbaceous_Wetlands_Copernicus,"Copernicus global land cover, herbaceous wetlands, 10m and proportion herbaceous wetland (1km) in 2019. 

Abstract: Landuse/landcover datasets are proivided through the Copernicus climate data service, (Buchhorn, M.; Smets, B.; Bertels, L.; De Roo, B.; Lesiv, M.; Tsendbazar, N.E., Linlin, L., Tarko, A. (2020): Copernicus Global Land Service: Land Cover 100m: Version 3 Globe 2015-2019: Product User Manual; Zenodo, Geneve, Switzerland, September 2020; doi: 10.5281/zenodo.3938963.). This 100m resolution product has been windowed to the MOOD extent (erprobaherbwet100m.tif). and then ggregated to 1km resolution version which contans the proportion of each pixel that is assined asherbaceous wetland (erprobapropherbwet1km.tif)","wetlands, coperncius, Proba","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/HerbaceousWetlandsCopernicus21,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/cglopsherbwet.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120025,25
NO,2019_SurfaceWater_PROBA_1k,"PROBA V 2019 permanent and Seasonal water 1km. 

Abstract: These layers are extracted for the MOOd extent from the Copernicus Global Land Service: Land Cover 100m: collection 3: epoch 2019: Globe (Marcel Buchhorn, Bruno Smets, Luc Bertels, Bert De Roo, Myroslava Lesiv, Nandin-Erdene Tsendbazar, Martin Herold, & Steffen Fritz. (2020). Copernicus Global Land Service: Land Cover 100m: collection 3: epoch 2019: Globe (V3.0.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3939050). A nunber of kilometre resolution derivatives have been produced from the original 100m resolution datsest for seasonal and permanent water categories: distance to permanent or seasonal water (erprobapermseaswatdistm1kmll.tif); percentage of seasonak water (erprobavLLC2019pcseaswat1km.tif); percentage permanent water (erprobavLLC2019pcpermwat1km.tif)","Proba, permnent, seasonal, water","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/SurfaceWaterProba1k19,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_surfacewater_Proba_1k_2019.png,,,"Avian Flu, Tularaemia, Leptospirosis, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120026,26
NO,2020_2022_VIIRS_CumTemp_IxodesRicinus,"This dataset presents cumulative temperature masks that identify areas that are warm enough to stimulate tick questing activity, using a temperature threshold of 6 C. A series of scripts download and process VIIRS EO imagery of Land Surface Temperature to create temperature masks every 8 days using a combination of decadel (8-day) and daily satellite data. This dataset includes 2020,2021,2022, and 2023.

These result in Boolean masks where suitable areas according to temperature limits on I. ricinus are identified as 1 and unsuitable areas as 0.  This mask can then be applied to the existing seasonal Tick model to make a more timely prediction of tick activity based on recent temperatures.

Image acquisition

Two different products are downloaded VIIRS Land Surface Temperature/Emissivity 8-day L3 Global 1 km SIN grid (VNP21A2, version 6) and VIIRS Land Surface Temperature/Emissivity Daily L3 Global 1 km SIN grid (VNP21A1D, version 6). 

processing
The cumulative temperature mask is processed in two steps through two separate scripts:

a. Acquisition of 1km MODIS Land Surface Temperature imagery from NASA's data repository.
b. Importing of the imagery into a Suitable format from which regularly updated masks are calculated.
","VIIRS, Cumulitative Temperature","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/VIIRSCumTempIxRicinus2022,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/ERCumTemp230813.jpg,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120027,27
NO,2020_MOOD_StandardMappingandAnalysispolygons,"MOOD standard Mapping and Analysis polygons. 

Abstract: Standard extents and polygons were defined at the start of the MOOD project. There sets of standatd geographies are provided: 
 a) A series of decimal degree grids (0.05, 0.1, 0.2, 0.5 ) in moodgrids.zip 
 b) raster extents in EPRS ( molandmasketrslaeaepsg3035.tif) and geographic projection (molatlonglandmask.tif) in moodpolygonsjanmasks21.zip; and 
 c) standard Administrative unit Polygons adopted from the Vectornet Project : one with relatively equal sized units designed for mapping (vectornetMAPforMOODjan21.shp) and one more suited to analysing and entering data recorded by admin unit that has consistent NITS 3 or Gaul 2 polygons (VectornetDATAforMOODjan21.shp) also in in moodpolygonsjanmasks21.zip","polygons, extents","ERGO
","William Wint (william.wint@gmail.com)
",2020,Yes,https://tinyurl.com/moodpolygongrid20,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_moodPolygons_21.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120028,28
NO,2020_WorldpopHumanPopulation_Age_Gender,"Worldpop Human 2020 population by Age and Gender. 

Abstract: Human popoulation estimates per pixel were extracted from MOOD partner Worldpop (www.worldpop.org) datasests for the MOOD extent. Gender age categories were summed to provide datasets for all males and all females as well as total populations . Filenames are are follows (MOWPGGGRRYY-OOCog.TIF where GGG =-gender (male = MAL, female = FEM), both = TOT); RR = Greater than (gt) or Less than (lt); YY = mimimum age; OO= Maximum age","Human population, age, gender","ERGO
","William Wint (william.wint@gmail.com)
",2020,Yes,https://tinyurl.com/worldPo20,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/vcwpopp.png,,,"Tularaemia, TBE, WNV, USUTU, Covid, Lyme",,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120029,29
NO,2021_2022_MonthlyDistribution_WaterBodies,"Monthly water bodies for WNV modelling, august 21 - sept 22. 

Abstract: 300m (0.00025 deg) resolution raster datasets for monthly water body presence (aug 21 to sept 22) were extracted for the MOOD spatial extent from global data provided by the Copernicus Global Land Service (https://land.copernicus.eu/global/products/wb). These data were prodced by the Sentinel 2 satellite . Details of data production are provided in the accompanying file CGLOPS2_PUM_WB300m_V2_I1.10.tif","Sentinel, water body, monthly, 300m","ERGO
","William Wint (william.wint@gmail.com)
",2021 -2022,Yes,https://tinyurl.com/monthlywaterbodies2122,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_mowaterbodmay22.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120030,30
NO,2021_ERA5_MonthlyPrecipitation_10k,"monthly Precipitation from the ERA5 reanalysis archive supplied by the European Centre ofr Medium Range Weather Forecasting for 2021. 

Abstract: Precipitation form the ERA5 reanalysis archive supplied by the European Centre ofr Medium Range Weather Forecasting for 2010 - 2021. the original data is at 0.25 degree resolution and was downscaled by ERA extraction algroithms to 10km.","ERA5, Precipitation, 10km","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/Era5Preciptation2110km,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_era__pr_21_10k.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120031,31
NO,2021_FloodRisk_JRC,"Floodrisk, 10 year return period, 1km.  

Abstract: The flood risk dataset downloaded from https://data.jrc.ec.europa.eu/collection/id-0054 haas been windowed to the MOOD extent for access by project partners. Accorig to JRC ""The maps have been developed using hydrological and hydrodynamic models, driven by the climatological data of the European and Global Flood Awareness Systems (EFAS and GloFAS). European-scale maps comprise most of the geographical Europe and all the river basins entering the Mediterranean and Black Seas in the Caucasus, Middle East and Northern Africa countries.""","Floodrisk, JRC, 10year","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/10yearfloodriskJRC21,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_floodrisk_10year.png,,,"Leptospirosis, Mosquito borne Flaviviruses",,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120032,32
NO,2021_HPAI_AvianHostDistributionIndices,"Weighted Index and formatted distribution data for HPAI hosts. 

Abstract: A series of descriptive metrics were produced as host distribution indices for use as covariates in HPAI spatial modelling. The following bird species were included. For each disptribution maps were extracted from the Birdlife International datasets and idvidual ratster images were produced for breeding, passage, resident and passage distributions. 
 Anas crecca, Anas penelope, Anal platyrhynchos, Anser anser, Aytha fuligula, Bucephala clangula, Cygnus color, Cygnus cygnus, Mareca penelope, Mareca strepera,
  Combination images for all species were also produced , eachgiving the number of species per pixel for each category ( Anatidae passage, Anatidae breeding, Anatidae resident, Anatidae nonbreeding,. Filenames = AIHOSTxxxxsum.tif where XXX = breeding, nobreeding, resident, passage)","HPAI, Bird Hosts, Birdlife International, distrubtions, indices","ERGO
","William Wint (william.wint@gmail.com)
",2021,Yes,https://tinyurl.com/WeightedHPAIAvianHostDis21,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/aihostpresabssum.png,,,HPAI,C0016627,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120033,33
NO,2021_Veterinary_Hospital_FacilityDistributions,"Veterinary and Hospital distributions. Full descriptions in Maps of Healthcare and Veterinary Locations.pptx. 

Abstract: These maps of veterinearfy facilkities and hospital health care locations are derived from the open source Open Street Maps (OSM). These are large datasets that underlie most of the satnav utilities, and are continuously updated by members of the public. They are compiled by GEOFABRIK, and can be downloaded from https://www.geofabric.de. Health care data have been further enhanced by the Global Health Sites Mapping Project (https://healthsites.io). 
 
 The data consist of locations (“points of interest”) and building outlines, and so are made up of points and polygon which are stored separately in the OSM files. Each record has a series of descriptors (“tags”) such as ‘amenity’ which may include descriptions such as hospital or veterinary clinic. These tags are provided by the people who add the data to the maps and o are multilingual and very variable. Most records contain additional more generic tags that can be used to identify classes of locations like hospitals or pharmacies.
  
 ERGO has taken the IO and OSM datasets, combined the polygon and point data, converted the polygons to points and removed any duplicates (where building outlines also have point location records), to produce and global datasets for healthcare and regional datasets for healthcare and veterinary locations covering Europe and its neighbouring countries. These are provided as ESRI point shapefiles as follows:
  Healthcare Global: Ionodewaynodupallmay21.shp
  Healthcare Regional: MONODWAYALLnodupMAY21.shp
  Veterinary Regional: afeupolypointsnondupmergemay21.shp
 
 The regional maps are produced by tabulating the number of each healthcare amenity or veterinary locations within administrative zones, normalising by the administrative unit areas. The maps aare produced from the following shape files:
  Healthcare Regional: MOiohealthamenitycountadmin2may21.shp
  Veterinary Regional: MONODWATALLVETSNODUPMAY21.shp
  An arcGS 10.4 MPK project file (ERGOhealthvetforweb.mpk) has been provided to dsplay the spatial data provided","Veterinary clinics, human hospitals, health, One health","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/VeterinaryHospitalDistu21,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_hospital_units.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120034,34
